sim_id,id_old,id_new,similarity,title,title
1045,4,679,0.216064438,State of emergency to be lifted for central Newfoundland as forest fires remain stable,"Canada's 3x3 basketball team wins Women's Series Final, capping unbeaten run"
1046,4,681,0.264062911,State of emergency to be lifted for central Newfoundland as forest fires remain stable,"While in London for the Queen's funeral, Trudeau also discusses economy and Ukraine with leaders"
1047,4,682,0.11194507,State of emergency to be lifted for central Newfoundland as forest fires remain stable,PTO Triathlon Tour US Open on CBC: Dallas - DAY 2
1048,4,684,0.434006214,State of emergency to be lifted for central Newfoundland as forest fires remain stable,Puerto Rico hit by blackout as Hurricane Fiona closes in
1049,4,686,0.216064438,State of emergency to be lifted for central Newfoundland as forest fires remain stable,"Canada's 3x3 basketball team wins Women's Series Final, capping unbeaten run"
1050,4,687,0.11194507,State of emergency to be lifted for central Newfoundland as forest fires remain stable,Curling Stadium Alberta Curling Series Major: Final - Leduc
1051,4,688,0.218764767,State of emergency to be lifted for central Newfoundland as forest fires remain stable,Playoff-hungry Orioles turn triple play and rally in 9th inning to beat Blue Jays
1052,4,689,0.08469373,State of emergency to be lifted for central Newfoundland as forest fires remain stable,"Canada's Glagau, Sorra top U.S. to win women's world U19 beach volleyball bronze"
1053,4,690,0.0,State of emergency to be lifted for central Newfoundland as forest fires remain stable,Tagovailoa throws 6 TDs as Dolphins rally past Ravens
1054,4,691,0.196614787,State of emergency to be lifted for central Newfoundland as forest fires remain stable,Aces defeat Sun to capture 1st WNBA title in franchise history
1055,4,692,0.229562491,State of emergency to be lifted for central Newfoundland as forest fires remain stable,Biden says it was 'irresponsible' for Trump to keep classified documents at Mar-a-Lago
1056,4,693,0.260324121,State of emergency to be lifted for central Newfoundland as forest fires remain stable,Homa secures 2nd straight title at Fortinet Championship after Willett's shocking 3-putt
1057,4,694,0.212273553,State of emergency to be lifted for central Newfoundland as forest fires remain stable,Andrea Lee secures 1st LPGA Tour title with win at Portland Classic
1058,4,695,0.233540311,State of emergency to be lifted for central Newfoundland as forest fires remain stable,Canada's wheelchair rugby team captures gold at Quad Nations with win over Paralympic champ Great Britain
1059,4,696,0.141767114,State of emergency to be lifted for central Newfoundland as forest fires remain stable,Former prime minister Stephen Harper invested into Order of Canada
1060,4,698,0.207219422,State of emergency to be lifted for central Newfoundland as forest fires remain stable,Cameron Smith wins LIV Golf Invitational in Chicago in 2nd start with rival league
1061,4,701,0.277068496,State of emergency to be lifted for central Newfoundland as forest fires remain stable,Terry Fox Run back in Alberta as thousands run in support of cancer research
1062,4,702,0.208398178,State of emergency to be lifted for central Newfoundland as forest fires remain stable,"Investigation launched as bystanders, suspects injured in police pursuit near Agassiz"
1063,4,703,0.22619392,State of emergency to be lifted for central Newfoundland as forest fires remain stable,Maj.-Gen. Dany Fortin's sexual assault trial begins today
1064,4,704,0.127098739,State of emergency to be lifted for central Newfoundland as forest fires remain stable,Watch the National Commemorative Ceremony for Queen Elizabeth on CBC.ca
